u,v,key,osmid,oneway,lanes,ref,name,highway,maxspeed,width,length,from,to,access,bridge,geometry
71376154,71495781,0,9415688,0,2,,Crescent Street,residential,,9.1,343.47800000000007,71495781,71376154,,,"LINESTRING (-71.722431 42.286135, -71.721927 42.285694, -71.721889 42.285657, -71.721851 42.28562, -71.721813 42.285583, -71.721774 42.285544, -71.721735 42.285506, -71.721698 42.285466, -71.721668 42.285429, -71.72164 42.285392, -71.721613 42.285354, -71.7216004 42.2853354, -71.721594 42.285326, -71.721575 42.285297, -71.721558 42.285268, -71.721539 42.28523, -71.721523 42.28519, -71.721506 42.285152, -71.72149 42.28512, -71.721474 42.285089, -71.72146 42.285057, -71.721448 42.28502, -71.721439 42.284982, -71.721431 42.284945, -71.721422 42.284899, -71.721415 42.284853, -71.721408 42.284806, -71.721384 42.28455, -71.7212749 42.2832828)"
71376154,71669612,0,"[9415688, 9414137]",0,2,,Crescent Street,residential,,"['10.4', '9.1']",207.40099999999998,71669612,71376154,,,"LINESTRING (-71.721973 42.281522, -71.721777 42.281825, -71.7216449 42.2819983, -71.721607 42.282048, -71.721466 42.282281, -71.721379 42.282479, -71.721337 42.282608, -71.7212971 42.2828887, -71.721291 42.282935, -71.721289 42.282947, -71.721283 42.282994, -71.721277 42.28304, -71.7212749 42.2832828)"
71376554,71378400,0,9416435,0,2,,Cherry Hill Drive,residential,30 mph,12.2,160.977,71378400,71376554,,,"LINESTRING (-71.695344 42.2596, -71.695455 42.259514, -71.695566 42.259444, -71.695735 42.259361, -71.695856 42.259305, -71.696054 42.259222, -71.6970202 42.2588708)"
71376694,71412367,0,9415954,0,2,,Tory Lane,residential,,,205.885,71412367,71376694,,,"LINESTRING (-71.7216371 42.3175502, -71.7221739 42.3174487, -71.7224804 42.3173862, -71.722556 42.3173694, -71.7227048 42.3173364, -71.7228376 42.317295, -71.7229588 42.3172506, -71.7232682 42.3170967, -71.723292 42.3170848, -71.7235457 42.316954, -71.7236682 42.3169105, -71.7237407 42.3168953, -71.7238435 42.3168935, -71.7239364 42.3169006)"
71376997,71518378,0,9414404,0,2,,Greenbriar Drive,residential,,,150.95299999999997,71518378,71376997,,,"LINESTRING (-71.743066 42.312349, -71.74316 42.312336, -71.743322 42.312311, -71.743521 42.312303, -71.743624 42.31231, -71.743723 42.312326, -71.7437877 42.3123386, -71.74381 42.312343, -71.743926 42.312381, -71.744034 42.312425, -71.744137 42.312468, -71.744331 42.312551, -71.744631 42.312713, -71.744725 42.312764)"
71376997,71412068,0,9415749,0,2,,Sewell Street,residential,,10.7,157.73,71412068,71376997,,,"LINESTRING (-71.743444 42.313819, -71.7436428 42.3136544, -71.7437 42.313607, -71.743973 42.313357, -71.744362 42.313049, -71.744632 42.312836, -71.744725 42.312764)"
71376997,71438629,0,9415749,0,2,,Sewell Street,residential,,10.7,603.185,71438629,71376997,,,"LINESTRING (-71.748883 42.308346, -71.748748 42.308451, -71.748545 42.30862, -71.748375 42.308833, -71.748224 42.30907, -71.747981 42.309438, -71.7477786 42.3097601, -71.747491 42.310172, -71.747248 42.310513, -71.74712 42.310679, -71.747003 42.310833, -71.746861 42.310964, -71.7467192 42.3110865, -71.7466248 42.311168, -71.746568 42.311217, -71.746316 42.311424, -71.745871 42.311796, -71.745433 42.312155, -71.744982 42.312538, -71.7447732 42.3127216, -71.744725 42.312764)"
71377142,71523943,2,9415166,0,2,,Spring Circle,residential,,15.2,297.93100000000004,71377142,71523943,,,"LINESTRING (-71.704605 42.306087, -71.705567 42.305913, -71.705667 42.305863, -71.705706 42.30583, -71.705748 42.30576, -71.705767 42.305692, -71.705765 42.305628, -71.705732 42.305527, -71.705643 42.305376, -71.705608 42.30534, -71.705517 42.30528, -71.705424 42.305238, -71.705315 42.305223, -71.705196 42.305232, -71.70506 42.305261, -71.70401 42.305594)"
71377142,71523943,3,9415166,0,2,,Spring Circle,residential,,15.2,82.524,71377142,71523943,,,"LINESTRING (-71.704605 42.306087, -71.704557 42.306076, -71.704395 42.306071, -71.704323 42.306054, -71.70426 42.306026, -71.70419 42.305968, -71.704115 42.305825, -71.70401 42.305594)"
71377142,71610290,0,9415629,0,2,,Wilder Road,residential,,10.7,320.5880000000001,71610290,71377142,,,"LINESTRING (-71.7055894 42.3088688, -71.705363 42.308214, -71.705104 42.307437, -71.704868 42.306752, -71.704684 42.306218, -71.704683 42.306201, -71.704674 42.30617, -71.704663 42.30614, -71.704644 42.306114, -71.704626 42.306099, -71.704605 42.306087)"
71377555,71695842,0,"[9415203, 9415198]",0,2,,Fox Hill Road,residential,,15.2,336.921,71695842,71377555,,,"LINESTRING (-71.707454 42.311741, -71.706749 42.312163, -71.7065018 42.3122815, -71.706465 42.312298, -71.706228 42.312366, -71.706149 42.312381, -71.70604 42.312389, -71.705745 42.312363, -71.705622 42.312337, -71.7055 42.312294, -71.705358 42.312228, -71.705226 42.312131, -71.704984 42.311899, -71.704868 42.311801, -71.704766 42.31169, -71.70461 42.311562, -71.704495 42.311483, -71.704355 42.311407, -71.704201 42.311344)"
71377555,71439938,0,340494932,0,2,,Prospect Street,tertiary,,11.0,187.39,71439938,71377555,,,"LINESTRING (-71.702895 42.312725, -71.703423 42.312157, -71.704201 42.311344)"
71377555,71474359,0,340494932,0,2,,Prospect Street,tertiary,,11.0,274.874,71474359,71377555,,,"LINESTRING (-71.706081 42.3093, -71.7054952 42.309937, -71.705328 42.3101187, -71.704201 42.311344)"
71377701,71550617,0,9416029,0,2,,Tolblin Hill Drive,residential,30 mph,15.2,145.73,71550617,71377701,,,"LINESTRING (-71.680858 42.283468, -71.680668 42.283481, -71.68055 42.283511, -71.680399 42.28359, -71.680272 42.283693, -71.680162 42.283851, -71.67995 42.284174, -71.679822 42.284285, -71.679686 42.284347)"
71377772,71562165,0,9415734,0,1,,Forest Avenue,residential,,4.9,154.594,71562165,71377772,,,"LINESTRING (-71.734859 42.245663, -71.734907 42.245774, -71.7349342 42.2458377, -71.734954 42.245884, -71.734994 42.245996, -71.735014 42.24606, -71.735031 42.246124, -71.735043 42.246188, -71.735044 42.24628, -71.735034 42.246371, -71.735032 42.246463, -71.735045 42.246548, -71.735064 42.246634, -71.735085 42.246719, -71.735108 42.246822, -71.735132 42.246924, -71.735157 42.247027)"
71377825,71661949,0,9415780,0,2,,South Quinsigamond Avenue,secondary,25 mph,18.3,98.407,71661949,71377825,,,"LINESTRING (-71.750725 42.269805, -71.750694 42.269744, -71.750657 42.269684, -71.750623 42.269623, -71.750586 42.269536, -71.750555 42.269448, -71.75053 42.269359, -71.750513 42.269289, -71.7505 42.269218, -71.750489 42.269147, -71.75048 42.26908, -71.750473 42.269014, -71.750469 42.268947)"
71377825,71403019,0,9415780,0,2,,South Quinsigamond Avenue,secondary,25 mph,18.3,70.347,71403019,71377825,,,"LINESTRING (-71.750542 42.268318, -71.750518 42.268407, -71.750501 42.268489, -71.75049 42.268573, -71.750481 42.268657, -71.750472 42.268753, -71.750468 42.26885, -71.750469 42.268947)"
71377825,71613892,0,9415990,0,2,,Ridgeland Road,tertiary,,9.1,73.10699999999999,71613892,71377825,,,"LINESTRING (-71.749595 42.269057, -71.749733 42.269032, -71.749871 42.269006, -71.750009 42.268984, -71.7500592 42.2689787, -71.750161 42.268968, -71.750315 42.268958, -71.750469 42.268947)"
71377932,71549910,0,9416108,0,2,,Shirley Road,residential,,9.1,150.668,71549910,71377932,,,"LINESTRING (-71.751366 42.299697, -71.75138 42.299822, -71.7513798 42.2998349, -71.751379 42.29988, -71.751369 42.299946, -71.751348 42.300031, -71.751315 42.300086, -71.751224 42.300221, -71.7511429 42.3003241, -71.751069 42.300418, -71.750879 42.300676, -71.750715 42.300935)"
71377932,71544615,0,435703403,0,2,,Holden Street,residential,,12.2,188.97699999999998,71544615,71377932,,,"LINESTRING (-71.751477 42.302538, -71.751459 42.302497, -71.751258 42.302086, -71.751109 42.301754, -71.751007 42.301564, -71.750985 42.301523, -71.750715 42.300935)"
71377932,71634948,0,435703403,0,2,,Holden Street,residential,,12.2,337.91999999999996,71634948,71377932,,,"LINESTRING (-71.749928 42.297962, -71.749967 42.29828, -71.75006 42.298795, -71.750131 42.299218, -71.750198 42.299534, -71.750254 42.299734, -71.75028 42.299802, -71.750298 42.299889, -71.750352 42.300066, -71.7504068 42.3002073, -71.750457 42.300337, -71.750694 42.300889, -71.750715 42.300935)"
71378106,71511013,0,9416249,0,2,,Park Street Place,residential,,9.8,23.682,71511013,71378106,,,"LINESTRING (-71.704452 42.299703, -71.7043167 42.299515)"
71378106,71457122,0,9414113,0,2,,Russell Avenue,residential,,7.6,181.89100000000002,71457122,71378106,,,"LINESTRING (-71.7023035 42.3001916, -71.7026374 42.3000789, -71.7027798 42.3000308, -71.7030673 42.2999338, -71.7033074 42.2998484, -71.7037015 42.299709, -71.7043167 42.299515)"
71378106,71539769,0,9416249,0,2,,Park Street Place,residential,,9.8,70.402,71539769,71378106,,,"LINESTRING (-71.7039628 42.2989385, -71.704132 42.2992141, -71.7042578 42.2994191, -71.7043167 42.299515)"
71378400,71479182,0,330080232,0,2,,Cherry Street,residential,,15.2,103.839,71479182,71378400,,,"LINESTRING (-71.6946102 42.2588592, -71.6951071 42.2594794, -71.695344 42.2596)"
71378400,3370453205,0,330080232,0,2,,Cherry Street,residential,,15.2,154.051,3370453205,71378400,,,"LINESTRING (-71.6945385 42.2604958, -71.6951366 42.2602486, -71.6954826 42.2600908, -71.6955899 42.2599717, -71.6955577 42.2597732, -71.695344 42.2596)"
71378428,71525469,0,9414561,0,2,,Winslow Street,residential,,12.2,87.162,71525469,71378428,,,"LINESTRING (-71.687661 42.287636, -71.686617 42.287502)"
71378428,71407562,0,9414068,0,2,,Garfield Avenue,residential,,12.2,182.61399999999998,71407562,71378428,,,"LINESTRING (-71.687547 42.288993, -71.687103 42.288287, -71.686861 42.287917, -71.686849 42.287899, -71.686617 42.287502)"
71378428,71638795,0,9414561,0,2,,Winslow Street,residential,,12.2,294.48300000000006,71638795,71378428,,,"LINESTRING (-71.686766 42.289281, -71.686078 42.288257, -71.685707 42.287681, -71.685699 42.287637, -71.685712 42.287552, -71.685745 42.287498, -71.6858 42.287457, -71.685882 42.28743, -71.686007 42.287415, -71.686186 42.287446, -71.686617 42.287502)"
71378443,71677545,0,"[9414384, 9415223]",0,"['1', '2']",,Hayden Lane,residential,,9.1,94.875,71677545,71378443,,,"LINESTRING (-71.718905 42.248515, -71.718773 42.24805, -71.718772 42.248046, -71.718668 42.24768)"
71378476,71552979,0,9414219,0,2,,Spring Street,residential,,9.1,28.358,71552979,71378476,,,"LINESTRING (-71.709624 42.301397, -71.709944 42.301302)"
71378476,71707371,0,9414219,0,2,,Spring Street,residential,,9.1,108.06200000000001,71707371,71378476,,,"LINESTRING (-71.711159 42.300932, -71.7106904 42.3010747, -71.709944 42.301302)"
71378476,71447895,0,9415834,0,2,,Gifford Drive,residential,,9.1,114.06200000000001,71447895,71378476,,,"LINESTRING (-71.709463 42.300341, -71.709656 42.300663, -71.709944 42.301302)"
71378514,71463798,0,9416439,0,2,,Harriet Lane,residential,,12.2,98.56899999999999,71463798,71378514,,,"LINESTRING (-71.724804 42.280507, -71.724314 42.280273, -71.723795 42.280029)"
71378514,71448812,0,9416562,0,2,,Dawson Circle,residential,,12.2,179.47699999999998,71448812,71378514,,,"LINESTRING (-71.723026 42.281539, -71.723364 42.280837, -71.723642 42.280291, -71.723795 42.280029)"
71378514,71410885,0,9416562,0,2,,Dawson Circle,residential,,12.2,103.49,71410885,71378514,,,"LINESTRING (-71.723114 42.279379, -71.723424 42.279538, -71.72371 42.279668, -71.723787 42.279722, -71.723826 42.279766, -71.72385 42.279812, -71.723853 42.279854, -71.723812 42.280001, -71.723795 42.280029)"
71378661,71497043,0,9414899,0,,,Brookdale Circle,residential,,,24.911,71497043,71378661,,,"LINESTRING (-71.699509 42.274461, -71.699538 42.274684)"
71378661,71476344,0,9414707,0,,,Old Laxfield Road,residential,,,303.39399999999995,71476344,71378661,,,"LINESTRING (-71.6971529 42.2767053, -71.697885 42.276362, -71.697975 42.276291, -71.698077 42.276198, -71.6991728 42.275134, -71.699397 42.27494, -71.699454 42.27486, -71.699538 42.274684)"
71378661,71588140,0,611211894,0,,,Old Laxfield Road,residential,,,24.658,71588140,71378661,,,"LINESTRING (-71.699804 42.274588, -71.6996364 42.2746314, -71.6995876 42.2746514, -71.699538 42.274684)"
71378777,71587315,0,9524145,1,3,I 290,,motorway,65 mph,91.5,424.67100000000005,71587315,71378777,,,"LINESTRING (-71.7188725 42.3212389, -71.71825 42.32151, -71.718078 42.321584, -71.717825 42.321695, -71.717655 42.321765, -71.717209 42.321938, -71.716954 42.32204, -71.716668 42.322141, -71.716502 42.322209, -71.716418 42.322241, -71.716147 42.322329, -71.716064 42.322362, -71.715901 42.32243, -71.715723 42.322493, -71.71536 42.322613, -71.714818 42.32278, -71.714258 42.322941)"
71378777,3413401220,0,9414155,1,1,,,motorway_link,,15.2,599.8149999999999,3413401220,71378777,,,"LINESTRING (-71.718239 42.318895, -71.7182458 42.319213, -71.718235 42.3193022, -71.7182055 42.3194014, -71.7181385 42.3195006, -71.7180312 42.3196215, -71.7179266 42.3197009, -71.7178059 42.3197723, -71.7174572 42.3199825, -71.7172802 42.3200896, -71.7171139 42.3202125, -71.7169824 42.3203434, -71.7168859 42.3204485, -71.7168108 42.3205576, -71.7167464 42.3206607, -71.7166686 42.3208293, -71.716597 42.321074, -71.71657 42.32128, -71.716537 42.321423, -71.716499 42.321635, -71.716483 42.321746, -71.716471 42.321782, -71.716425 42.321884, -71.716391 42.321944, -71.716369 42.321973, -71.716292 42.322051, -71.716236 42.322099, -71.716052 42.322215, -71.715967 42.322259, -71.715551 42.322447, -71.715323 42.322528, -71.714905 42.322688, -71.71473 42.322747, -71.714607 42.322785, -71.714489 42.322828, -71.714411 42.322864, -71.714258 42.322941)"
71378870,71526733,0,9414085,0,2,,Sias Avenue,residential,,12.2,72.833,71526733,71378870,,,"LINESTRING (-71.739545 42.274235, -71.740425 42.274164)"
71378870,71665510,0,9414085,0,2,,Sias Avenue,residential,,12.2,71.809,71665510,71378870,,,"LINESTRING (-71.741294 42.274104, -71.740425 42.274164)"
71378870,71431272,0,9416607,0,2,,Browne Road,residential,,12.2,135.529,71431272,71378870,,,"LINESTRING (-71.740584 42.275377, -71.7405757 42.2753253, -71.740519 42.274974, -71.74046 42.274476, -71.740425 42.274164)"
71378870,71433923,0,9416607,0,2,,Browne Road,residential,,12.2,86.447,71433923,71378870,,,"LINESTRING (-71.740301 42.273392, -71.740348 42.273687, -71.740425 42.274164)"
71379398,71506448,0,9415254,0,2,,Thestland Drive,residential,30 mph,15.2,195.09499999999997,71506448,71379398,,,"LINESTRING (-71.743534 42.293272, -71.743725 42.292615, -71.743901 42.291999, -71.743931 42.291934, -71.74396 42.29187, -71.743988 42.291805, -71.744019 42.291725, -71.744047 42.291645, -71.744075 42.291565)"
71379398,71617441,0,971520872,0,2,,Main Street,secondary,35 mph,18.3,96.709,71617441,71379398,,,"LINESTRING (-71.745205 42.291805, -71.745127 42.291788, -71.7451127 42.2917849, -71.74505 42.291771, -71.744973 42.291754, -71.744825 42.291721, -71.744676 42.29169, -71.74455 42.291663, -71.744528 42.291658, -71.744378 42.291626, -71.744226 42.291594, -71.744075 42.291565)"
71379398,71671230,0,971520872,0,2,,Main Street,secondary,35 mph,18.3,217.05100000000002,71671230,71379398,,,"LINESTRING (-71.741448 42.291449, -71.741597 42.291451, -71.741747 42.291449, -71.741897 42.291446, -71.742085 42.291444, -71.742273 42.291442, -71.742461 42.291443, -71.742658 42.291449, -71.742971 42.2914608, -71.743241 42.291475, -71.74343 42.291484, -71.743618 42.291498, -71.743771 42.291517, -71.743923 42.291539, -71.744075 42.291565)"
71379554,71611291,0,9416415,0,2,,Ashton Drive,residential,30 mph,12.2,120.40199999999997,71611291,71379554,,,"LINESTRING (-71.7062781 42.2619511, -71.706255 42.262306, -71.706251 42.262337, -71.706247 42.262367, -71.706243 42.262397, -71.706238 42.262425, -71.706233 42.262453, -71.706227 42.26248, -71.70622 42.262512, -71.706212 42.262544, -71.706202 42.262575, -71.70619 42.262602, -71.706175 42.262629, -71.706161 42.262656, -71.706152 42.262676, -71.706142 42.262696, -71.706133 42.262717, -71.7060007 42.2630052)"
71379554,71511215,0,9416464,0,2,,Rockwell Drive,residential,30 mph,15.2,534.441,71511215,71379554,,,"LINESTRING (-71.701523 42.265579, -71.702017 42.265569, -71.702203 42.265543, -71.702302 42.265521, -71.702387 42.265496, -71.702426 42.26548, -71.70246 42.265462, -71.702553 42.265397, -71.702665 42.265299, -71.702688 42.265272, -71.702711 42.265233, -71.702782 42.265057, -71.702794 42.264977, -71.702937 42.264299, -71.702958 42.264228, -71.702984 42.264171, -71.703038 42.264084, -71.70306 42.264056, -71.703123 42.263997, -71.703196 42.263943, -71.703408 42.263804, -71.703557 42.263718, -71.704145 42.263426, -71.7049 42.263009, -71.705075 42.262935, -71.705119 42.262919, -71.705193 42.262898, -71.705231 42.26289, -71.705332 42.262883, -71.70544 42.262887, -71.705553 42.262898, -71.705616 42.262909, -71.70574 42.262938, -71.70594 42.262992, -71.7060007 42.2630052)"
71379554,71677306,0,9416464,0,2,,Rockwell Drive,residential,30 mph,15.2,166.94,71677306,71379554,,,"LINESTRING (-71.7080113 42.2631762, -71.7078973 42.2631829, -71.7078132 42.2631821, -71.7063867 42.2630663, -71.7062868 42.2630556, -71.7061521 42.2630345, -71.7060007 42.2630052)"
71380098,71423992,0,9415416,0,2,,Richard Avenue,residential,,15.2,31.919,71423992,71380098,,,"LINESTRING (-71.718127 42.289305, -71.7179785 42.2890398)"
71380098,71666481,0,9414102,0,2,,Westport Circle,residential,30 mph,15.2,59.998999999999995,71666481,71380098,,,"LINESTRING (-71.7173536 42.2892962, -71.7174863 42.289187, -71.7179785 42.2890398)"
71380098,71545955,0,9415416,0,2,,Richard Avenue,residential,,15.2,107.483,71545955,71380098,,,"LINESTRING (-71.7173906 42.288203, -71.71753 42.288257, -71.7179785 42.2890398)"
71380430,71526421,0,9414226,0,2,,Meadowbrook Circle,residential,,,163.09699999999998,71526421,71380430,,,"LINESTRING (-71.685854 42.303539, -71.685912 42.303489, -71.685966 42.303418, -71.685998 42.303396, -71.68612 42.303343, -71.686274 42.303302, -71.686629 42.303242, -71.687271 42.303032, -71.687376 42.303011, -71.6874275 42.3030059, -71.6874783 42.3030066, -71.6876343 42.3030225)"
71380533,71653791,0,9416006,0,2,,Main Boulevard,residential,,12.2,84.901,71653791,71380533,,,"LINESTRING (-71.689631 42.288898, -71.688735 42.288519)"
71380533,71525469,0,9416006,0,2,,Main Boulevard,residential,,12.2,138.065,71525469,71380533,,,"LINESTRING (-71.687661 42.287636, -71.687907 42.288043, -71.687994 42.288166, -71.688035 42.288206, -71.688206 42.288306, -71.688735 42.288519)"
71380533,71407562,0,9416468,0,2,,State Street,residential,,15.2,111.524,71407562,71380533,,,"LINESTRING (-71.687547 42.288993, -71.687988 42.288856, -71.688598 42.288604, -71.688735 42.288519)"
71380543,71618907,0,9415634,0,2,,Berkshire Road,residential,30 mph,15.2,339.10299999999995,71618907,71380543,,,"LINESTRING (-71.668095 42.2665225, -71.667091 42.265669, -71.666877 42.265467, -71.666818 42.265386, -71.66678 42.265312, -71.666616 42.2648, -71.666357 42.264054, -71.666275 42.26387)"
71380543,71675357,0,9416147,0,2,,Amherst Road,residential,30 mph,15.2,116.547,71675357,71380543,,,"LINESTRING (-71.665103 42.264458, -71.665605 42.264192, -71.666275 42.26387)"
71380543,71430007,0,9416147,0,2,,Amherst Road,residential,30 mph,15.2,166.147,71430007,71380543,,,"LINESTRING (-71.6681576 42.2633964, -71.668049 42.263429, -71.667953 42.263446, -71.667813 42.263443, -71.667639 42.263446, -71.66749 42.263469, -71.66716 42.263547, -71.666832 42.263642, -71.666543 42.263741, -71.666275 42.26387)"
71381207,71559166,0,9415260,0,2,,Farview Avenue,residential,,15.2,69.729,71559166,71381207,,,"LINESTRING (-71.703205 42.289295, -71.702601 42.289735)"
71381207,71694221,0,9415260,0,2,,Farview Avenue,residential,,15.2,138.68099999999998,71694221,71381207,,,"LINESTRING (-71.700971 42.289914, -71.702302 42.289855, -71.702321 42.289854, -71.70234 42.289854, -71.702359 42.289852, -71.702385 42.289847, -71.70241 42.28984, -71.702435 42.289833, -71.702454 42.289827, -71.702473 42.28982, -71.702491 42.289812, -71.702508 42.289803, -71.702525 42.289794, -71.702541 42.289783, -71.702562 42.289768, -71.702581 42.289752, -71.702601 42.289735)"
71381207,71493858,0,9416416,0,2,,Upland Avenue,residential,,12.2,143.948,71493858,71381207,,,"LINESTRING (-71.701376 42.288811, -71.701586 42.288958, -71.701814 42.289144, -71.702601 42.289735)"
71381261,71626232,0,9415039,1,2,MA 140,Boylston Street,secondary,50 mph,15.2,34.712,71381261,71626232,,,"LINESTRING (-71.720272 42.324323, -71.7204932 42.3245889)"
71381261,71409992,0,"[447983712, 9415039]",1,2,MA 140,Boylston Street,secondary,50 mph,15.2,279.84600000000006,71409992,71381261,,yes,"LINESTRING (-71.719301 42.321912, -71.719361 42.322066, -71.719476 42.322379, -71.719601 42.322695, -71.719711 42.323012, -71.719817 42.323296, -71.719891 42.323464, -71.719909 42.323509, -71.719926 42.323554, -71.719944 42.323599, -71.719966 42.323655, -71.719989 42.323711, -71.720012 42.323767, -71.720038 42.323827, -71.720065 42.323887, -71.720093 42.323947, -71.720114 42.32399, -71.720136 42.324034, -71.720157 42.324077, -71.720184 42.324134, -71.72021 42.324191, -71.720238 42.324247, -71.720259 42.324294, -71.720272 42.324323)"
71381261,71570761,0,9415921,1,1,,,motorway_link,,15.2,578.924,71570761,71381261,,,"LINESTRING (-71.7143729 42.3233178, -71.7147276 42.3232238, -71.7152987 42.3230732, -71.715542 42.323011, -71.71563 42.322991, -71.71588 42.322925, -71.716024 42.322892, -71.71607 42.322884, -71.716166 42.322875, -71.716304 42.322869, -71.716401 42.322871, -71.716504 42.32288, -71.716612 42.322899, -71.716665 42.322911, -71.716752 42.322937, -71.716838 42.322969, -71.716967 42.323025, -71.717052 42.323067, -71.717406 42.323259, -71.717539 42.323323, -71.717585 42.323342, -71.717657 42.323364, -71.717722 42.32338, -71.717858 42.323408, -71.717956 42.323424, -71.71807 42.323437, -71.71818 42.323445, -71.718257 42.323445, -71.718388 42.32344, -71.718523 42.323425, -71.718654 42.323402, -71.719109 42.323304, -71.719179 42.323295, -71.719282 42.323291, -71.719321 42.323291, -71.719396 42.3233, -71.719468 42.323319, -71.719534 42.323343, -71.719619 42.323384, -71.719671 42.323414, -71.71972 42.323447, -71.719745 42.323467, -71.719787 42.323511, -71.719808 42.323541, -71.719906 42.323723, -71.719973 42.323839, -71.720039 42.323966, -71.72012 42.324082, -71.720272 42.324323)"
71381530,71543966,0,9415693,0,2,,Floral Street,residential,,10.7,189.26500000000001,71543966,71381530,,,"LINESTRING (-71.684228 42.285094, -71.684286 42.2850123, -71.6843924 42.2848627, -71.684449 42.284783, -71.684581 42.284446, -71.68467 42.284262, -71.6846824 42.2842285, -71.684791 42.283935, -71.6848202 42.2838737, -71.6849206 42.2836629, -71.685 42.283496)"
71381530,71637608,0,9415693,0,2,,Floral Street,residential,,10.7,130.975,71637608,71381530,,,"LINESTRING (-71.686344 42.282978, -71.6860042 42.2830444, -71.685838 42.2830751, -71.6856036 42.2831188, -71.6855261 42.2831413, -71.685423 42.283167, -71.6853885 42.2831821, -71.685226 42.283253, -71.685094 42.283347, -71.685048 42.283399, -71.685 42.283496)"
