project,Full_STR,street,length(ft),distribution Rate Per Foot ($),additional cost per foot,total cost,parcel(#),1/3phase,1 phase,SAND_mean,CLAY_mean,SAND_max,CLAY_max,BLD_AREA,TOTAL_VAL,UNITS,USE_CODE_mode,density(#parcel/ft),BLD_AREA/length,TOTAL_VAL/length,log_density,SAND/CLAY,log_SAND,log_CLAY,UNITS_density,residential_mode,residential_100%,street_type,residential_street_type
"West Concord Business District Utility Upgrade Project, 13.8 kV",2010-2011,BEHARRELL ST,215,93.93,0,93.93,6,"3Ph Com, 1Ph Res",0,10.01666667,0.9,60.1,5.4,220370,23787200,0,4010,0.027906977,1024.976744,110638.1395,-1.554287206,11.12962963,1.000723222,-0.045757491,0,0,0,unclassified,0
"West Concord Business District Utility Upgrade Project, 13.8 kV",2010-2011,BRADFORD ST,825,93.93,0,93.93,6,"3Ph Trunk, 3Ph Com, 1Ph Res",0,60.1,5.4,60.1,5.4,113340,11096000,0,1010,0.007272727,137.3818182,13449.69697,-2.138302714,11.12962963,1.778874472,0.73239376,0,1,0,residential ,1
"West Concord Business District Utility Upgrade Project, 13.8 kV",2010-2011,LAWS BROOK RD,430,93.93,0,93.93,63,"3Ph Trunk, 1Ph Res",0,61.06349206,4.571428571,90,5.4,244682,53856400,0,1010,0.146511628,569.027907,125247.4419,-0.834127906,13.35763889,1.785781637,0.660051938,0,1,0,tertiary,0
"2010 UG Conversion Project, 13.8 kV",2009-2010,MILDRED CIR,2049,16.95,78.46,95.41,15,1Ph Res,1,81.14,1.8,85,2,139318,21616400,0,1010,0.007320644,67.9931674,10549.73158,-2.135450712,45.07777778,1.909235003,0.255272505,0,1,1,residential ,1
"2010 UG Conversion Project, 13.8 kV",2009-2010,SARAH WAY,772,16.95,78.46,95.41,6,1Ph Res,1,85,1,85,1,57343,9760100,0,1010,0.007772021,74.27849741,12642.61658,-2.109466035,85,1.929418926,0,0,1,1,residential ,1
"2010 UG Conversion Project, 13.8 kV",2009-2010,CAMBRIDGE TPKE,100,16.95,78.46,95.41,53,1Ph Res,1,73.70943396,2.573584906,90,8.5,189304,41928702,0,1010,0.53,1893.04,419287.02,-0.27572413,28.64076246,1.867523076,0.410538501,0,1,0,tertiary,0
"Minuteman Heights Utility Project, 13.8 kV",2009-2011,HUNTERS RIDGE RD,3000,57.32,74.91,132.23,24,1Ph Res,1,78.11666667,2.133333333,90,7.3,146635,26402600,0,1010,0.008,48.87833333,8800.866667,-2.096910013,36.61718751,1.892743703,0.329058719,0,1,1,residential ,1
"Minuteman Heights Utility Project, 13.8 kV",2009-2011,OLD MARLBORO RD,100,57.32,74.91,132.23,97,1Ph Res,1,72.15670103,3.444329897,85,9.5,665409,125917500,0,1010,0.97,6654.09,1259175,-0.013228266,20.94941634,1.858276669,0.537104741,0,1,0,residential ,1
"Emerson Underground Utility Project, 13.8 kV",2007-TBD,THOREAU ST,4432,150,182.85,332.85,66,"3Ph Trunk, 3Ph Com, 1Ph Res",0,57.40757576,3.8,85,5.4,333114,71855100,8,1010,0.014891697,75.16110108,16212.79332,-1.827055809,15.10725678,1.758969208,0.579783597,0.001805054,1,0,secondary,0
"Emerson Underground Utility Project, 13.8 kV",2007-TBD,HUBBARD ST,333,20,182.85,202.85,55,"3Ph Trunk, 3Ph Com, 1Ph Res",0,66.65272727,4.287272727,81.1,5.4,223002,64054600,24,1010,0.165165165,669.6756757,192356.1562,-0.782081544,15.5466497,1.823817924,0.632181111,0.072072072,1,0,residential ,1
"Emerson Underground Utility Project, 13.8 kV",2007-TBD,WALDEN TER,963,20,182.85,202.85,12,"3Ph Trunk, 3Ph Com, 1Ph Res",0,66.825,4.266666667,81.1,5.4,50911,12220400,0,1010,0.012461059,52.86708204,12689.92731,-1.904445048,15.66210937,1.824938967,0.630088715,0,1,1,residential ,1
"Emerson Underground Utility Project, 13.8 kV",2007-TBD,SUDBURY RD,1624,40,182.85,222.85,118,"3Ph Trunk, 3Ph Com, 1Ph Res",0,59.91271186,3.779661017,90,9.5,549123,139166240,6,1010,0.072660099,338.1299261,85693.49754,-1.138704015,15.85134529,1.777518978,0.577452851,0.003694581,1,0,tertiary,0
"Emerson Underground Utility Project, 13.8 kV",2007-TBD,"LAUREL ST, THOREAU CT",2252,20,182.85,202.85,29,"3Ph Trunk, 3Ph Com, 1Ph Res",0,58.13005952,4.769047619,81.1,5.4,182529,50361500,12,1010,0.012877442,81.05195382,22363.01066,-1.890170398,12.18902896,1.764400768,0.678431659,0.012877442,1,0,residential ,1
"Emerson Underground Utility Project, 13.8 kV",2007-TBD,"UNION ST, WILLOW ST, FIELDING ST",1179,20,182.85,202.85,23,"3Ph Trunk, 3Ph Com, 1Ph Res",0,67.88333333,4.125,81.1,5.4,26201,18877000,18,1010,0.019508058,22.2230704,16011.02629,-1.709785962,16.45656566,1.83176316,0.615423953,0.019508058,1,0,residential ,1
"Emerson Underground Utility Project, 13.8 kV",2007-TBD,"DEVENS ST, BELKNAP ST",1491,20,182.85,202.85,54,"3Ph Trunk, 3Ph Com, 1Ph Res",0,59.44673913,5.341304348,60.1,5.4,178352,50008700,12,1010,0.036217304,119.6190476,33540.37559,-1.441083882,11.12962963,1.774128037,0.727647325,0.036217304,1,0,residential ,1
"Emerson Underground Utility Project, 13.8 kV",2007-TBD,"ACADEMY LN, MIDDLE ST",1480,20,182.85,202.85,16,"3Ph Trunk, 3Ph Com, 1Ph Res",0,60.1,5.4,60.1,5.4,70858,26985000,12,1010,0.010810811,47.87702703,18233.10811,-1.966141725,11.12962963,1.778874472,0.73239376,0.010810811,1,0,residential ,1
